Date,Symbol,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Quarter,Year
2022-12-31,JNJ,-162932000.0,0.154,27663000000.0,16370000000.0,6970000000.0,24596000000.0,26605000000.0,19635000000.0,214000000.0,276000000.0,17265068000.0,17941000000.0,58977000000.0,2663900000.0,2625200000.0,6.73,6.83,17941000000.0,17941000000.0,17941000000.0,17941000000.0,16370000000.0,2989000000.0,19359000000.0,214000000.0,276000000.0,21013000000.0,34381000000.0,14135000000.0,20246000000.0,55394000000.0,24596000000.0,79990000000.0,79990000000.0,4,2022
2021-12-31,JNJ,-79848000.0,0.072,27860000000.0,17801000000.0,7390000000.0,23402000000.0,26751000000.0,19361000000.0,-130000000.0,183000000.0,18830152000.0,20878000000.0,57797000000.0,2674000000.0,2628965000.0,7.81,7.930572,20878000000.0,20878000000.0,20878000000.0,20878000000.0,17801000000.0,1377000000.0,19178000000.0,-130000000.0,183000000.0,20943000000.0,34395000000.0,14277000000.0,20118000000.0,55338000000.0,23402000000.0,78740000000.0,78740000000.0,4,2021
2024-12-31,MDT,-87750000.0,0.234,8578000000.0,3676000000.0,2647000000.0,10262000000.0,8203000000.0,5556000000.0,-719000000.0,719000000.0,3963250000.0,3676000000.0,26844000000.0,1330200000.0,1327700000.0,2.76,2.77,3676000000.0,3676000000.0,3676000000.0,3705000000.0,3705000000.0,1133000000.0,4837000000.0,-719000000.0,719000000.0,5520000000.0,15628000000.0,2735000000.0,10736000000.0,21148000000.0,11216000000.0,32364000000.0,32364000000.0,4,2024
2023-12-31,MDT,-101775000.0,0.295,9042000000.0,3758000000.0,2697000000.0,9720000000.0,8697000000.0,6000000000.0,-636000000.0,636000000.0,4001225000.0,3758000000.0,25397000000.0,1332800000.0,1329800000.0,2.82,2.83,3758000000.0,3758000000.0,3758000000.0,3784000000.0,3784000000.0,1580000000.0,5364000000.0,-636000000.0,636000000.0,5830000000.0,14678000000.0,2696000000.0,10415000000.0,20508000000.0,10719000000.0,31227000000.0,31227000000.0,4,2023
2022-12-31,MDT,-12865000.0,0.083,8932000000.0,5039000000.0,2707000000.0,9171000000.0,8777000000.0,6070000000.0,-553000000.0,553000000.0,5181135000.0,5039000000.0,25778000000.0,1351400000.0,1342400000.0,3.73,3.75,5039000000.0,5039000000.0,5039000000.0,5062000000.0,5062000000.0,456000000.0,5517000000.0,-553000000.0,553000000.0,5908000000.0,15633000000.0,2746000000.0,10292000000.0,21541000000.0,10145000000.0,31686000000.0,31686000000.0,4,2022
2021-12-31,MDT,-27962772.785623,0.068036,7933000000.0,3606000000.0,2702000000.0,9564000000.0,7522000000.0,4820000000.0,-925000000.0,925000000.0,3989037227.214377,3606000000.0,25222000000.0,1354000000.0,1344900000.0,2.66,2.68,3606000000.0,3606000000.0,3606000000.0,3630000000.0,3630000000.0,265000000.0,3895000000.0,-925000000.0,925000000.0,4895000000.0,14739000000.0,2493000000.0,10148000000.0,19634000000.0,10483000000.0,30117000000.0,30117000000.0,4,2021
2024-12-31,RMD,-13176689.0,0.193,1594988000.0,1020951000.0,216209000.0,1860306000.0,1526715000.0,1310506000.0,-45708000.0,45708000.0,1076047311.0,1020951000.0,3301176000.0,147550000.0,147021000.0,6.92,6.94,1020951000.0,1020951000.0,1020951000.0,1020951000.0,1020951000.0,243847000.0,1264798000.0,-45708000.0,45708000.0,1384121000.0,1271182000.0,307525000.0,917136000.0,2655303000.0,2029994000.0,4685297000.0,4685297000.0,4,2024
2023-12-31,RMD,1854255.0,0.185,1336582000.0,897556000.0,197562000.0,1711789000.0,1346605000.0,1149043000.0,-47379000.0,47379000.0,889387255.0,897556000.0,3070996000.0,147455000.0,146765000.0,6.09,6.12,897556000.0,897556000.0,897556000.0,897556000.0,897556000.0,204108000.0,1101664000.0,-47379000.0,47379000.0,1151997000.0,1203665000.0,287642000.0,874003000.0,2355662000.0,1867331000.0,4222993000.0,4222993000.0,4,2023
2022-12-31,RMD,-2644408.0,0.188,1190702000.0,779437000.0,193841000.0,1391053000.0,1176636000.0,982795000.0,-22312000.0,22312000.0,790858592.0,779437000.0,2575977000.0,147043000.0,146066000.0,5.3,5.34,779437000.0,779437000.0,779437000.0,779437000.0,779437000.0,181046000.0,960483000.0,-22312000.0,22312000.0,1002150000.0,1022161000.0,253575000.0,737508000.0,2024311000.0,1553816000.0,3578127000.0,3578127000.0,4,2022
2021-12-31,RMD,-2341710.0,0.27,1112542000.0,474505000.0,191518000.0,1197285000.0,1103869000.0,912351000.0,-23627000.0,23989000.0,480836290.0,474505000.0,2284474000.0,146451000.0,145313000.0,3.24,3.27,474505000.0,474505000.0,474505000.0,474505000.0,474505000.0,409157000.0,883662000.0,-23627000.0,23989000.0,912351000.0,926749000.0,225284000.0,670387000.0,1839100000.0,1357725000.0,3196825000.0,3196825000.0,4,2021
2024-12-31,RXST,0.0,0.21,-23760000.0,-27455000.0,3624000.0,40984000.0,-23760000.0,-27384000.0,9453000.0,21000.0,-27455000.0,-27455000.0,176785000.0,,,,,-27455000.0,-27455000.0,-27455000.0,-27455000.0,-27455000.0,50000.0,-27405000.0,9453000.0,21000.0,-36858000.0,135801000.0,34367000.0,101434000.0,98943000.0,40984000.0,139927000.0,139927000.0,4,2024
2023-12-31,RXST,0.0,0.0,-39268000.0,-48608000.0,4243000.0,35312000.0,-41037000.0,-45280000.0,3266000.0,3308000.0,-46839000.0,-48608000.0,139162000.0,34455111.0,34455111.0,-1.41,-1.41,-48608000.0,-48608000.0,-48608000.0,-48608000.0,-48608000.0,20000.0,-48588000.0,3266000.0,3308000.0,-50085000.0,103850000.0,29051000.0,74799000.0,53765000.0,35312000.0,89077000.0,89077000.0,4,2023
2022-12-31,RXST,0.0,0.0,-57779000.0,-66756000.0,4022000.0,27677000.0,-57779000.0,-61801000.0,-3429000.0,4946000.0,-66756000.0,-66756000.0,112323000.0,27661982.0,27661982.0,-2.41,-2.41,-66756000.0,-66756000.0,-66756000.0,-66756000.0,-66756000.0,9000.0,-66747000.0,-3429000.0,4946000.0,-63318000.0,84646000.0,25981000.0,58665000.0,21328000.0,27677000.0,49005000.0,49005000.0,4,2022
2021-12-31,RXST,0.0,0.0,-48745000.0,-48688000.0,3988000.0,18076000.0,-41010000.0,-44998000.0,-3628000.0,3682000.0,-56423000.0,-48688000.0,75380000.0,13625044.0,13625044.0,-3.57,-3.57,-48688000.0,-48688000.0,-48688000.0,-48688000.0,-48688000.0,8000.0,-48680000.0,-3628000.0,3682000.0,-52787000.0,57304000.0,24499000.0,32805000.0,4517000.0,18076000.0,22593000.0,22593000.0,4,2021
